itemId,fieldId,subjectId,source,overallScore,vignetteQuality,highYieldValue,distractors,correctAnswerExplanation,integrationThinking,overallPolish,platformFit,polishScore,examReady,difficultySuggestion,topIssues,recommendations,tagsSuggestion,testedConcepts
cmpnjhjtv005z1ymx69oim2h5,usmle-step-1,anatomy,polished,7.5,8.7,4,9.5,9,7,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; pathophysiology; anatomy,pathophysiology; anatomy
cmpnjhjtv00601ymxu8bbzbsk,usmle-step-1,anatomy,polished,7.6,10,4,9.5,9,7,6.5,7.5,1.000,no,Medium,stem_lead_in:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; pathophysiology; anatomy,pathophysiology; anatomy
cmpnjhjtv00611ymxmr80co5y,usmle-step-1,anatomy,polished,7.9,10,4,9.5,9,8.5,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhjtv00621ymxfmxmxwf0,usmle-step-1,anatomy,polished,7.9,10,4,9.5,9,8,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhjtv00631ymxzm8p01re,usmle-step-1,anatomy,polished,7.7,8.2,4,9.5,9,8.5,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhjtv00641ymxjulnvjlb,usmle-step-1,anatomy,polished,7.4,8.7,4,9.5,9,6.5,6.5,7.5,1.000,no,Medium,vignette_validation:warn|stem_lead_in:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; pathophysiology; anatomy,pathophysiology; anatomy
cmpnjhjtv00651ymxf6a0cvfn,usmle-step-1,anatomy,polished,7.5,8.2,4,9.5,9,7,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhjtv00661ymx0ahrmw72,usmle-step-1,anatomy,polished,7.9,10,4,9.5,9,8,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; pathophysiology; anatomy,pathophysiology; anatomy
cmpnjhjtv00671ymx4njowzd3,usmle-step-1,anatomy,polished,7.9,10,4,9.5,9,8.5,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhjtz00681ymxql270fp5,usmle-step-1,anatomy,polished,7.6,8.2,4,9.5,9,8,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhjtz00691ymxwxf03kkx,usmle-step-1,anatomy,polished,7.8,10,4,9.5,9,8,6.5,7.5,1.000,no,Medium,stem_lead_in:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; pathophysiology; anatomy,pathophysiology; anatomy
cmpnjhjtz006a1ymx5hrg14xd,usmle-step-1,anatomy,polished,7.5,8.7,4,9.5,9,6.5,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; diagnosis; anatomy,diagnosis; anatomy
cmpnjhjtz006b1ymx096v1bes,usmle-step-1,anatomy,polished,7.7,8.2,4,9.5,9,8.5,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhjtz006c1ymxu325nwni,usmle-step-1,anatomy,polished,7.7,8.7,4,9.5,9,8,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhjtz006d1ymxf34lqqp3,usmle-step-1,anatomy,polished,7.5,8.7,4,9.5,9,6.5,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; diagnosis; anatomy,diagnosis; anatomy
cmpnjhk19006e1ymxmbofbwrc,usmle-step-1,anatomy,polished,7.6,10,4,9.5,9,6.5,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; diagnosis; anatomy,diagnosis; anatomy
cmpnjhk19006f1ymxthi67tj1,usmle-step-1,anatomy,polished,7.5,8.7,4,9.5,9,7,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; pathophysiology; anatomy,pathophysiology; anatomy
cmpnjhk19006g1ymxxqapa6d3,usmle-step-1,anatomy,polished,7.8,9,4,9.5,9,8.5,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhk19006h1ymxrstjhiol,usmle-step-1,anatomy,polished,7.7,10,4,9.5,9,7,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; diagnosis; anatomy,diagnosis; anatomy
cmpnjhk19006i1ymxb5rv5yy7,usmle-step-1,anatomy,polished,7.7,9.2,4,9.5,9,8,6.5,7.5,1.000,no,Medium,vignette_validation:warn|stem_lead_in:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; pathophysiology; anatomy,pathophysiology; anatomy
cmpnjhk19006j1ymxiqgylqlw,usmle-step-1,anatomy,polished,7.4,8.2,4,9.5,9,7,6.5,7.5,1.000,no,Medium,vignette_validation:warn|stem_lead_in:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; pathophysiology; anatomy,pathophysiology; anatomy
cmpnjhk19006k1ymx1jxpd11d,usmle-step-1,anatomy,polished,7.9,10,4,9.5,9,8,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhk19006l1ymxe4bfvqya,usmle-step-1,anatomy,polished,7.8,10,4,9.5,9,8,6.5,7.5,1.000,no,Medium,stem_lead_in:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; pathophysiology; anatomy,pathophysiology; anatomy
cmpnjhk19006m1ymxwg9qvjma,usmle-step-1,anatomy,polished,7.7,8.7,4,9.5,9,8,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhk19006n1ymxwa03wbrk,usmle-step-1,anatomy,polished,7.9,10,4,9.5,9,8.5,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhk19006o1ymxes4nds57,usmle-step-1,anatomy,polished,7.5,8.2,4,9.5,9,8,6.5,7.5,1.000,no,Medium,vignette_validation:warn|stem_lead_in:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; pathophysiology; anatomy,pathophysiology; anatomy
cmpnjhk19006p1ymx4ongl8zl,usmle-step-1,anatomy,polished,7.6,8.2,4,9.5,9,8,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
